Competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Olivier Martin'"," [['Fran'"," '0:00']"," ['Helen'"," '0:00']"," ['Grace'"," '1:48']"," ['Filthy 50'"," '0:00']"," ['Fight Gone Bad'"," '412']"," ['Sprint 400m'"," '1:14']"," ['Run 5k'"," '19:12']"," []"," ['Clean & Jerk'"," '345 lb']"," ['Snatch'"," '255 lb']"," ['Deadlift'"," '505 lb']"," ['Back Squat'"," '445 lb']"," ['Max Pull-ups'"," '51']]"," ['South East'"," 'Team SouthSide'"," 'CrossFit SS (South Side)'"," '34'"," '6\'0""""""""'"," '208 lb'])"
"('Uriah Aviles'"," [['Fran'"," '2:17']"," ['Helen'"," '--']"," ['Grace'"," '0:00']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '317 lb']"," ['Snatch'"," '255 lb']"," ['Deadlift'"," '600 lb']"," ['Back Squat'"," '515 lb']"," ['Max Pull-ups'"," '55']]"," ['Mid Atlantic'"," 'Signal 5 CrossFit'"," 'Signal 5 CrossFit'"," '30'"," '5\'8""""""""'"," '205 lb'])"
"('Sean Thomson'"," [['Fran'"," '1:58']"," ['Helen'"," '7:10']"," ['Grace'"," '1:27']"," ['Filthy 50'"," '17:33']"," ['Fight Gone Bad'"," '415']"," ['Sprint 400m'"," '0:52']"," ['Run 5k'"," '17:49']"," []"," ['Clean & Jerk'"," '330 lb']"," ['Snatch'"," '250 lb']"," ['Deadlift'"," '520 lb']"," ['Back Squat'"," '465 lb']"," ['Max Pull-ups'"," '75']]"," ['Mid Atlantic'"," 'CrossFit Go Hard'"," 'CrossFit Go Hard'"," '29'"," '5\'7""""""""'"," '159 lb'])"
"('Adam Klink'"," [['Fran'"," '2:27']"," ['Helen'"," '8:27']"," ['Grace'"," '1:50']"," ['Filthy 50'"," '17:48']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '0:58']"," ['Run 5k'"," '0:00']"," []"," ['Clean & Jerk'"," '300 lb']"," ['Snatch'"," '230 lb']"," ['Deadlift'"," '575 lb']"," ['Back Squat'"," '520 lb']"," ['Max Pull-ups'"," '50']]"," ['Mid Atlantic'"," 'CrossFit Krypton'"," 'Male'"," '26'"," '6\'0""""""""'"," '218 lb'])"
"('Mark Hutchinson'"," [['Fran'"," '2:21']"," ['Helen'"," '--']"," ['Grace'"," '--']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '429']"," ['Sprint 400m'"," '0:49']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '340 lb']"," ['Snatch'"," '270 lb']"," ['Deadlift'"," '500 lb']"," ['Back Squat'"," '415 lb']"," ['Max Pull-ups'"," '83']]"," ['South East'"," 'San Pablo CrossFit'"," 'Male'"," '27'"," '6\'0""""""""'"," '206 lb'])"
"('John Zvejnieks'"," [['Fran'"," '1:01']"," ['Helen'"," '0:10']"," ['Grace'"," '1:01']"," ['Filthy 50'"," '0:10']"," ['Fight Gone Bad'"," '101']"," ['Sprint 400m'"," '0:10']"," ['Run 5k'"," '1:01']"," []"," ['Clean & Jerk'"," '666 lb']"," ['Snatch'"," '666 lb']"," ['Deadlift'"," '666 lb']"," ['Back Squat'"," '666 lb']"," ['Max Pull-ups'"," '666']]"," ['Mid Atlantic'"," 'Down East CrossFit'"," 'Male'"," '32'"," '5\'9""""""""'"," '195 lb'])"
"('Mark Oliver'"," [['Fran'"," '2:00']"," ['Helen'"," '--']"," ['Grace'"," '--']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '335 lb']"," ['Snatch'"," '245 lb']"," ['Deadlift'"," '--']"," ['Back Squat'"," '415 lb']"," ['Max Pull-ups'"," '58']]"," ['South East'"," 'CrossFit Ybor'"," 'CrossFit Ybor'"," '23'"," '5\'7""""""""'"," '175 lb'])"
"('Jeremy Lancaster'"," [['Fran'"," '2:14']"," ['Helen'"," '7:20']"," ['Grace'"," '1:45']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '360']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '325 lb']"," ['Snatch'"," '265 lb']"," ['Deadlift'"," '455 lb']"," ['Back Squat'"," '425 lb']"," ['Max Pull-ups'"," '75']]"," ['South East'"," 'Knockout CrossFit'"," 'Male'"," '27'"," '5\'7""""""""'"," '170 lb'])"
"('Matt Baird'"," [['Fran'"," '--']"," ['Helen'"," '--']"," ['Grace'"," '--']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '--']"," ['Snatch'"," '--']"," ['Deadlift'"," '--']"," ['Back Squat'"," '--']"," ['Max Pull-ups'"," '--']]"," ['South East'"," 'Crossfit West Cobb'"," 'CrossFit West Cobb'"," '30'"," '5\'9""""""""'"," '191 lb'])"
"('Dan Bailey'"," [['Fran'"," '2:17']"," ['Helen'"," '0:00']"," ['Grace'"," '0:00']"," ['Filthy 50'"," '0:00']"," ['Fight Gone Bad'"," '457']"," ['Sprint 400m'"," '0:47']"," ['Run 5k'"," '19:00']"," []"," ['Clean & Jerk'"," '305 lb']"," ['Snatch'"," '265 lb']"," ['Deadlift'"," '540 lb']"," ['Back Squat'"," '405 lb']"," ['Max Pull-ups'"," '0']]"," ['Southern California'",," 'Male'"," '31'"," '5\'7""""""""'"," '179 lb'])"
