Competitor,,Fran Times,Fran Times (Decimal),,,,,,,,,,,,,,,Clean & Jerk,,Snatch,,Deadlift,,Back Squat,,,,,,Age,Height,Weight
Gabe Subry, Fran,0:02:30,0.001736111, Helen, 7:50, Grace, 1:50, Filthy 50, 18:57, Fight Gone Bad,457, Sprint 400m, 1:04, Run 5k, 18:31, , Clean & Jerk,315, Snatch,255, Deadlift,500, Back Squat,410, Max Pull-ups,58, Northern California, crossfit 209 sport, CrossFit 209 Sport,34,175,190
Josh Golden, Fran,0:02:20,0.00162037, Helen, 8:20, Grace, 1:11, Filthy 50, 14:22, Fight Gone Bad,420, Sprint 400m, 0:57, Run 5k, 100:39, , Clean & Jerk,325, Snatch,240, Deadlift,535, Back Squat,455, Max Pull-ups,50, Southern California,, Male,32,175,194
Zach Baker, Fran,0:02:13,0.001539352, Helen, 8:30, Grace, 2:05, Filthy 50, 19:25, Fight Gone Bad,330, Sprint 400m, 1:25, Run 5k, 18:00, , Clean & Jerk,325, Snatch,255, Deadlift,475, Back Squat,415, Max Pull-ups,50, Southern California, CrossFit East County, CrossFit East County,28,175,180
Dusty Sulon, Fran,0:02:36,0.001805556, Helen, 7:55, Grace, 2:24, Filthy 50, 17:00, Fight Gone Bad,432, Sprint 400m, 1:07, Run 5k, 20:44, , Clean & Jerk,305, Snatch,260, Deadlift,500, Back Squat,420, Max Pull-ups,46, Northern California, Crossfit Danville, CrossFit Danville,30,183,185
Taylor Yaffee, Fran,0:02:33,0.001770833, Helen, 7:53, Grace, 1:50, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 1:00, Run 5k, 0:00, , Clean & Jerk,310, Snatch,250, Deadlift,500, Back Squat,405, Max Pull-ups,50, Southern California, CrossFit Forest, CrossFit Forest,23,180,195
Kyle Zozaya, Fran,0:02:20,0.00162037, Helen, 7:49, Grace, 1:50, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,325, Snatch,240, Deadlift,455, Back Squat,415, Max Pull-ups, --, Northern California, Diablo CrossFit Anejo, Diablo CrossFit,24,178,194
Blair Morrison, Fran,0:02:30,0.001736111, Helen, 6:54, Grace, 1:43, Filthy 50, 17:08, Fight Gone Bad,449, Sprint 400m, 0:56, Run 5k, 18:11, , Clean & Jerk,297, Snatch,255, Deadlift,490, Back Squat,450, Max Pull-ups,45, Northern California, crossfit anywhere, CrossFit Anywhere,33,183,190
Tyler Wilcox, Fran,0:02:12,0.001527778, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,300, Snatch,250, Deadlift,495, Back Squat,385, Max Pull-ups, --, Northern California, CrossFit ASAP, Male,24,178,175
Reid Worthington, Fran,0:02:19,0.001608796, Helen, 7:02, Grace, 1:19, Filthy 50, 0:00, Fight Gone Bad,471, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,365, Snatch,302, Deadlift,555, Back Squat,505, Max Pull-ups,47, Southern California, LmbrJCKD, LumberYard CrossFit,27,183,208
Adam Peterson, Fran,0:02:30,0.001736111, Helen, 7:35, Grace, 1:45, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:49, Run 5k, 0:00, , Clean & Jerk,335, Snatch,265, Deadlift,550, Back Squat,455, Max Pull-ups,60, Southern California, CrossFit Inferno, CrossFit Inferno,29,180,198
Will Zerlang, Fran,0:02:24,0.001666667, Helen, 7:42, Grace, 2:24, Filthy 50, 18:00, Fight Gone Bad,422, Sprint 400m, 1:15, Run 5k, 19:46, , Clean & Jerk,295, Snatch,245, Deadlift,455, Back Squat,425, Max Pull-ups,52, Northern California, Humboldt CrossFit, Humboldt CrossFit,35,178,187
Cary Hair, Fran,0:02:20,0.00162037, Helen, 7:28, Grace, 1:49, Filthy 50, 18:23, Fight Gone Bad,407, Sprint 400m, 0:54, Run 5k, 21:34, , Clean & Jerk,315, Snatch,265, Deadlift,518, Back Squat,455, Max Pull-ups,54, Northern California, CrossFit Santa Cruz, CrossFit Santa Cruz,31,183,191
Gregory Mountain, Fran,0:02:06,0.001458333, Helen, 6:38, Grace, 1:51, Filthy 50, 0:00, Fight Gone Bad,443, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,305, Snatch,255, Deadlift,515, Back Squat,405, Max Pull-ups,70, Southern California, CrossTown Rebels, Crosstown CrossFit,31,168,169
Troy Stinson, Fran,0:02:29,0.001724537, Helen, 0:00, Grace, 1:36, Filthy 50, 0:00, Fight Gone Bad,362, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,300, Snatch,260, Deadlift,425, Back Squat,425, Max Pull-ups,50, Northern California, Lifeworx, CrossFit Lifeworx,26,180,190
Eric Botsford, Fran,0:02:34,0.001782407, Helen, 8:07, Grace, 2:30, Filthy 50, 0:00, Fight Gone Bad,420, Sprint 400m, 0:59, Run 5k, 17:19, , Clean & Jerk,300, Snatch,225, Deadlift,430, Back Squat,395, Max Pull-ups,50, Northern California, Good Times CrossFit, Good Times CrossFit,36,180,176
Brett Panceroff, Fran,0:02:12,0.001527778, Helen, 0:00, Grace, 0:00, Filthy 50, 19:30, Fight Gone Bad,0, Sprint 400m, 0:55, Run 5k, 19:08, , Clean & Jerk,355, Snatch,255, Deadlift,625, Back Squat,515, Max Pull-ups,60, Southern California, Pandemic Nation, CrossFit Pandemic,29,183,220
Jake Neubauer, Fran,0:02:16,0.001574074, Helen, 7:18, Grace, 2:00, Filthy 50, 18:56, Fight Gone Bad,0, Sprint 400m, 0:56, Run 5k, 19:34, , Clean & Jerk,315, Snatch,250, Deadlift,500, Back Squat,435, Max Pull-ups,55, Northern California, CrossFit StompinGround, Male,34,175,195
Nick Urankar, Fran,0:02:10,0.00150463, Helen, 0:00, Grace, 1:24, Filthy 50, 15:30, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 19:37, , Clean & Jerk,390, Snatch,305, Deadlift,535, Back Squat,475, Max Pull-ups,55, Central East, CrossFit 061, CrossFit 061,31,178,195
Graham Holmberg, Fran,0:02:04,0.001435185, Helen, 7:04, Grace, 1:12, Filthy 50, 17:30, Fight Gone Bad,433, Sprint 400m, --, Run 5k, 19:00, , Clean & Jerk,330, Snatch,270, Deadlift,535, Back Squat,440, Max Pull-ups,55, Central East, Eleventh Element, CrossFit Hilliard,30,180,190
Nick Fory, Fran,0:02:18,0.001597222, Helen, 0:00, Grace, 1:39, Filthy 50, 0:00, Fight Gone Bad,436, Sprint 400m, 1:02, Run 5k, 18:34, , Clean & Jerk,275, Snatch,225, Deadlift,480, Back Squat,395, Max Pull-ups,70, Central East, Mad City CrossFit, Male,29,178,185
Shane McBride, Fran,0:01:59,0.001377315, Helen, 7:32, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 20:34, , Clean & Jerk,345, Snatch,265, Deadlift,515, Back Squat,480, Max Pull-ups,0, North Central, CrossFit 557, CrossFit 557,29,165,175
Kevin Scholtz, Fran,0:01:58,0.001365741, Helen, 0:00, Grace, 2:21, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 1:03, Run 5k, 20:50, , Clean & Jerk,335, Snatch,270, Deadlift,450, Back Squat,465, Max Pull-ups,55, Central East, CrossFit Distinction, Male,22,168,163
Duke Burk, Fran,0:02:20,0.00162037, Helen, 8:14, Grace, 1:21, Filthy 50, --, Fight Gone Bad,0, Sprint 400m, 1:05, Run 5k, 20:20, , Clean & Jerk,345, Snatch,285, Deadlift,525, Back Squat,485, Max Pull-ups,50, North Central, DTO CrossFit, DTO CrossFit,29,178,200
